TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.288,0.317,0.034,0.106,0.535
0.658,0.737,0.049,0.467,0.551
0.894,0.854,0.036,0.644,0.539
0.87,0.816,0.125,0.565,0.533
0.908,0.822,0.01,0.576,0.608
0.731,0.715,0.224,0.543,0.443
0.598,0.623,0.072,0.395,0.488
0.858,0.825,0.089,0.601,0.584
0.785,0.795,0.089,0.557,0.562
0.569,0.567,0.163,0.375,0.355
0.853,0.882,0.022,0.607,0.815
0.764,0.748,0.036,0.434,0.611
0.458,0.393,0.142,0.277,0.325
0.719,0.653,0.027,0.332,0.458
0.482,0.535,0.062,0.285,0.396
0.831,0.727,0.41,0.641,0.295
0.336,0.426,0.023,0.103,0.619
0.802,0.754,0.168,0.609,0.395
0.603,0.636,0.101,0.425,0.361
0.852,0.839,0.089,0.55,0.547
0.801,0.765,0.074,0.607,0.456
0.816,0.764,0.216,0.63,0.459
0.728,0.668,0.217,0.464,0.336
0.899,0.804,0.07,0.701,0.571
0.786,0.737,0.183,0.61,0.429
0.579,0.597,0.042,0.345,0.425
0.478,0.451,0.047,0.145,0.547
0.852,0.797,0.055,0.675,0.67
0.262,0.452,0.039,0.125,0.533
0.795,0.757,0.172,0.604,0.426
0.648,0.665,0.074,0.376,0.423
0.741,0.742,0.044,0.399,0.586
0.872,0.903,0.034,0.749,0.7
0.237,0.274,0.058,0.111,0.28
0.803,0.749,0.119,0.605,0.42
0.563,0.703,0.103,0.374,0.596
0.753,0.77,0.094,0.523,0.685
0.818,0.802,0.052,0.611,0.53
0.863,0.78,0.118,0.705,0.377
0.572,0.492,0.099,0.371,0.407
0.825,0.743,0.183,0.656,0.401
0.68,0.637,0.076,0.44,0.455
0.789,0.736,0.139,0.563,0.456
0.867,0.875,0.065,0.617,0.663
0.497,0.49,0.06,0.273,0.58
0.352,0.35,0.052,0.131,0.324
0.39,0.419,0.073,0.244,0.315
0.371,0.477,0.04,0.229,0.755
0.825,0.763,0.135,0.567,0.587
0.84,0.805,0.203,0.667,0.3
0.469,0.455,0.137,0.282,0.486
0.861,0.823,0.067,0.65,0.634
0.713,0.724,0.068,0.415,0.387
0.81,0.733,0.124,0.54,0.355
0.907,0.855,0.111,0.701,0.602
0.842,0.769,0.167,0.699,0.372
0.901,0.845,0.101,0.704,0.633
0.841,0.784,0.283,0.681,0.426
0.805,0.732,0.206,0.633,0.422
0.558,0.562,0.068,0.345,0.289
0.822,0.834,0.079,0.503,0.566
0.583,0.705,0.017,0.337,0.702
0.814,0.741,0.163,0.607,0.55
0.731,0.665,0.228,0.473,0.312
0.818,0.762,0.158,0.625,0.486
0.799,0.807,0.041,0.437,0.521
0.828,0.797,0.07,0.55,0.639
0.877,0.869,0.027,0.665,0.566
0.655,0.628,0.063,0.333,0.596
0.787,0.748,0.169,0.603,0.435
0.732,0.795,0.098,0.458,0.452
0.904,0.865,0.087,0.557,0.753
0.578,0.486,0.118,0.343,0.404
0.858,0.816,0.122,0.635,0.667
0.329,0.343,0.058,0.136,0.401
0.827,0.823,0.086,0.521,0.523
0.807,0.791,0.158,0.546,0.724
0.747,0.645,0.18,0.514,0.221
0.742,0.775,0.136,0.507,0.53
0.282,0.274,0.089,0.116,0.211
