TSSM_MIN,TSSM_MAX,TV,PTPM,BSHG
0.708,0.808,0.402,0.058,0.639
0.44,0.41,0.241,0.051,0.318
0.608,0.568,0.315,0.071,0.492
0.836,0.8,0.642,0.12,0.495
0.861,0.896,0.508,0.027,0.649
0.669,0.631,0.426,0.108,0.407
0.69,0.693,0.474,0.086,0.646
0.645,0.742,0.42,0.033,0.667
0.809,0.757,0.605,0.19,0.473
0.515,0.564,0.264,0.104,0.447
0.728,0.704,0.433,0.119,0.473
0.654,0.666,0.453,0.1,0.39
0.401,0.48,0.23,0.126,0.363
0.864,0.861,0.615,0.062,0.556
0.725,0.649,0.47,0.088,0.419
0.148,0.205,0.059,0.048,0.505
0.834,0.757,0.538,0.165,0.627
0.496,0.472,0.278,0.138,0.429
0.374,0.412,0.148,0.019,0.292
0.795,0.757,0.604,0.172,0.426
0.424,0.345,0.201,0.108,0.154
0.64,0.666,0.415,0.039,0.569
0.879,0.814,0.756,0.07,0.425
0.85,0.8,0.643,0.104,0.572
0.82,0.708,0.648,0.251,0.241
0.856,0.846,0.638,0.042,0.474
0.33,0.368,0.161,0.039,0.553
0.619,0.621,0.362,0.037,0.452
0.876,0.934,0.511,0.009,0.937
0.481,0.477,0.275,0.141,0.387
0.861,0.766,0.694,0.208,0.337
0.624,0.568,0.336,0.065,0.5
0.813,0.765,0.607,0.195,0.488
0.218,0.245,0.066,0.045,0.196
0.793,0.725,0.575,0.21,0.41
0.665,0.854,0.356,0.048,0.69
0.296,0.416,0.163,0.054,0.437
0.899,0.893,0.653,0.051,0.63
0.81,0.757,0.571,0.191,0.438
0.785,0.795,0.557,0.089,0.562
0.593,0.643,0.422,0.161,0.404
0.798,0.77,0.584,0.184,0.393
0.875,0.879,0.632,0.038,0.625
0.757,0.686,0.451,0.086,0.479
0.695,0.741,0.439,0.05,0.48
0.51,0.495,0.304,0.06,0.553
0.602,0.635,0.36,0.067,0.495
0.734,0.682,0.528,0.287,0.208
0.876,0.825,0.764,0.116,0.559
0.799,0.764,0.549,0.131,0.465
0.616,0.7,0.371,0.125,0.357
0.89,0.908,0.801,0.088,0.617
0.849,0.857,0.535,0.03,0.542
0.676,0.698,0.413,0.085,0.521
0.523,0.512,0.249,0.094,0.589
0.738,0.674,0.493,0.154,0.36
0.885,0.845,0.693,0.198,0.384
0.564,0.614,0.36,0.112,0.483
0.62,0.61,0.391,0.115,0.578
0.519,0.461,0.318,0.058,0.447
0.265,0.476,0.11,0.028,0.8
0.654,0.729,0.505,0.083,0.423
0.867,0.823,0.569,0.151,0.509
0.903,0.912,0.467,0.053,0.702
0.705,0.738,0.4,0.033,0.589
0.604,0.547,0.298,0.046,0.441
0.6,0.627,0.371,0.112,0.441
0.913,0.878,0.714,0.069,0.604
0.6,0.525,0.363,0.128,0.398
0.912,0.86,0.672,0.02,0.599
0.833,0.762,0.611,0.165,0.538
0.535,0.536,0.242,0.093,0.652
0.747,0.747,0.519,0.194,0.461
0.927,0.919,0.65,0.038,0.842
0.408,0.436,0.214,0.096,0.235
0.858,0.721,0.685,0.208,0.211
0.685,0.62,0.454,0.156,0.431
0.842,0.752,0.613,0.145,0.345
0.681,0.659,0.44,0.124,0.486
0.865,0.892,0.685,0.012,0.672
0.456,0.421,0.28,0.129,0.422
0.551,0.572,0.323,0.087,0.623
0.416,0.518,0.233,0.091,0.399
0.938,1.0,0.466,0.034,0.837
0.781,0.762,0.559,0.116,0.407
0.85,0.815,0.543,0.136,0.55
0.738,0.723,0.504,0.189,0.473
0.242,0.315,0.138,0.07,0.345
0.618,0.545,0.408,0.183,0.381
0.831,0.812,0.622,0.122,0.563
0.52,0.495,0.256,0.095,0.423
0.506,0.471,0.254,0.101,0.455
0.829,0.814,0.394,0.054,0.495
0.818,0.802,0.611,0.052,0.53
0.496,0.45,0.248,0.15,0.441
0.562,0.527,0.345,0.132,0.31
0.299,0.391,0.102,0.024,0.63
0.872,0.903,0.749,0.034,0.7
0.633,0.569,0.326,0.081,0.363
0.69,0.713,0.404,0.046,0.572
0.637,0.63,0.44,0.087,0.446
0.842,0.733,0.691,0.256,0.212
0.533,0.544,0.361,0.3,0.461
