TSSM_MAX,TSSM_MIN,TV,PTPM,BSHG
0.415,0.476,0.286,0.19,0.333
0.682,0.734,0.528,0.287,0.208
0.779,0.848,0.625,0.216,0.526
0.635,0.562,0.358,0.031,0.488
0.33,0.294,0.113,0.055,0.482
0.023,0.035,0.002,0.07,0.232
0.523,0.405,0.203,0.065,0.539
0.724,0.713,0.415,0.068,0.387
0.24,0.165,0.078,0.072,0.393
0.693,0.673,0.427,0.042,0.557
0.771,0.834,0.517,0.191,0.471
0.481,0.493,0.251,0.106,0.575
0.748,0.794,0.611,0.234,0.459
0.578,0.615,0.339,0.129,0.508
0.812,0.911,0.704,0.063,0.602
0.289,0.339,0.123,0.011,0.542
0.565,0.583,0.326,0.03,0.37
0.908,0.874,0.765,0.024,0.535
0.828,0.866,0.686,0.095,0.477
0.738,0.865,0.675,0.255,0.288
0.531,0.515,0.299,0.055,0.447
0.727,0.807,0.599,0.068,0.58
0.62,0.685,0.454,0.156,0.431
0.676,0.553,0.361,0.064,0.595
0.693,0.69,0.474,0.086,0.646
0.836,0.903,0.7,0.049,0.622
0.683,0.695,0.496,0.125,0.541
0.84,0.887,0.672,0.028,0.804
0.519,0.51,0.278,0.111,0.449
0.567,0.66,0.439,0.216,0.369
0.962,0.92,0.653,0.032,0.776
0.792,0.935,0.704,0.03,0.661
0.666,0.725,0.447,0.169,0.486
0.847,0.842,0.553,0.07,0.604
0.612,0.595,0.362,0.052,0.455
0.923,0.877,0.927,0.0,0.815
0.804,0.884,0.503,0.049,0.652
0.281,0.285,0.131,0.112,0.235
0.673,0.703,0.465,0.134,0.608
0.583,0.556,0.321,0.062,0.515
0.484,0.311,0.151,0.069,0.473
0.676,0.713,0.514,0.067,0.488
0.869,0.866,0.472,0.028,0.583
0.769,0.837,0.686,0.148,0.381
0.713,0.764,0.518,0.189,0.422
0.454,0.46,0.236,0.074,0.461
0.666,0.583,0.356,0.053,0.536
0.809,0.851,0.602,0.139,0.602
0.452,0.262,0.125,0.039,0.533
