TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG,RENDIMIENTO
25.955,34.055,2.884,26.719,0.499,1.0
25.728,32.476,7.562,29.081,0.415,1.0
26.495,34.63,2.032,25.217,0.533,1.5
26.141,33.798,3.389,27.786,0.459,1.5
26.206,33.148,3.664,27.569,0.463,1.5
26.105,35.659,1.629,25.844,0.567,0.9
26.064,34.633,5.788,31.123,0.46,1.0
27.345,35.662,2.731,32.984,0.342,1.5
27.439,36.455,4.143,32.946,0.55,1.5
24.64,33.4,14.4,29.227,0.456,1.2
24.617,32.943,4.057,27.148,0.585,1.2
25.614,35.106,4.51,24.669,0.517,0.8
25.266,33.894,1.984,25.997,0.439,1.2
22.763,27.308,4.329,25.94,0.37,2.0
23.058,29.333,2.842,23.762,0.434,2.0
22.374,27.213,5.13,25.213,0.421,2.2
22.664,28.675,2.076,23.387,0.458,2.0
22.453,26.913,5.195,25.06,0.399,2.2
22.925,28.354,3.235,24.204,0.404,1.5
23.372,28.102,5.736,26.184,0.414,1.6
23.94,29.451,5.041,25.563,0.369,1.5
22.683,26.413,7.886,25.225,0.307,1.6
22.549,27.504,3.957,24.06,0.342,1.2
22.49,27.084,6.915,25.699,0.336,1.2
22.965,28.667,2.518,22.649,0.421,1.5
22.972,28.048,5.023,25.664,0.431,1.5
23.288,28.884,5.202,24.462,0.398,2.0
23.067,27.933,5.291,25.64,0.416,2.0
23.389,29.215,2.315,24.337,0.433,2.0
23.439,28.557,3.649,26.169,0.452,2.0
23.277,29.495,4.052,24.522,0.436,2.0
23.737,29.192,6.15,26.704,0.387,2.0
23.924,29.974,3.822,25.193,0.407,2.0
22.969,27.805,7.93,26.54,0.374,2.0
22.921,28.621,3.865,24.133,0.411,2.0
22.959,28.962,2.232,23.225,0.276,2.0
23.224,28.13,4.851,26.134,0.431,2.0
24.464,28.909,4.996,24.968,0.399,2.0
23.423,28.342,4.782,26.741,0.412,2.0
13.938,17.8,8.469,15.91,0.095,1.52
11.822,18.548,2.366,13.189,0.354,1.75
11.179,17.372,2.064,13.05,0.367,1.16
10.866,18.347,2.506,14.091,0.417,1.16
11.14,17.599,2.488,13.782,0.363,1.1
11.38,18.099,2.154,13.937,0.386,1.1
11.534,17.911,1.199,13.89,0.397,1.1
